,Wikipedia Reference,Matching Scholar Title,Category,Trustworthiness (1-5),Extracted Wikipedia Authors,Scholar Authors,Title Similarity (%),Author Match,Match Confidence,Scholar URL,Citations
0,M. G. Arora & M. Singh (1994). Nuclear Chemistry . Anmol Publications. p. 202. ISBN 81-261-1763-X .,nuclear fission,Unknown,1,"Arora, M",R Vandenbosch,67,No,Low,https://books.google.com/books?hl=en&lr=&id=RCeaisb73M0C&oi=fnd&pg=PP1&dq=Nuclear+fission&ots=6Bafp83xp8&sig=3q8B9GrVYzk4stWKE6TbcNBkj8s,1358
1,Gopal B. Saha (1 November 2010). Fundamentals of Nuclear Pharmacy . Springer. pp. 11–. ISBN 978-1-4419-5860-0 .,dynamics of nuclear fission,Book,5,"Saha, G","D Hilscher, H Rossner",59,No,Low,https://www.annphys.org/articles/anphys/abs/1992/06/anphys_1992__17_6_471_0/anphys_1992__17_6_471_0.html,580
2,"Петржак, Константин (1989). ""Как было открыто спонтанное деление"" [How spontaneous fission was discovered]. In Черникова, Вера (ed.). Краткий Миг Торжества — О том, как делаются научные открытия [ Brief Moment of Triumph — About making scientific discoveries ] (in Russian). Наука. pp. 108– 112. ISBN 5-02-007779-8 .",nuclear fission,Unknown,N/A,"Петржак, К",R Vandenbosch,60,No,Low,https://books.google.com/books?hl=en&lr=&id=RCeaisb73M0C&oi=fnd&pg=PP1&dq=Nuclear+fission&ots=6Bafp83xp8&sig=3q8B9GrVYzk4stWKE6TbcNBkj8s,1358
3,"Younes, Walid; Loveland, Walter (2021). An Introduction to Nuclear Fission . Springer. pp. 28– 30. ISBN 9783030845940 .",nuclear fission,Book,5,"Younes, W",R Vandenbosch,100,No,Medium,https://books.google.com/books?hl=en&lr=&id=RCeaisb73M0C&oi=fnd&pg=PP1&dq=Nuclear+fission&ots=6Bafp83xp8&sig=3q8B9GrVYzk4stWKE6TbcNBkj8s,1358
4,"Rhodes, Richard (1986). The Making of the Atomic Bomb . New York: Simon & Schuster Paperbacks. pp. 135– 138. ISBN 9781451677614 .",dynamics of nuclear fission,Book,5,"Rhodes, R","D Hilscher, H Rossner",52,Yes,Low,https://www.annphys.org/articles/anphys/abs/1992/06/anphys_1992__17_6_471_0/anphys_1992__17_6_471_0.html,580
5,"Dempster, A.J. (1938). ""The Atomic Masses of the Heavy Elements"" . Physical Review . 53 (1). American Physical Society: 64– 75. Bibcode : 1938PhRv...53...64D . doi : 10.1103/PhysRev.53.64 . Retrieved 9 October 2023 .",microscopic theory of nuclear fission: a review,Academic Paper,5,"Dempster, A","N Schunck, LM Robledo",43,No,Low,https://iopscience.iop.org/article/10.1088/0034-4885/79/11/116301/meta,299
6,"Feenberg, eugene (1939). ""On the Shape and Stability of Heavy Nuclei"" . Physical Review . 55 (5). American Physical Society: 504– 505. Bibcode : 1939PhRv...55..504F . doi : 10.1103/PhysRev.55.504.2 . Retrieved 9 October 2023 .",nuclear fission: a review of experimental advances and phenomenology,Academic Paper,5,"Feenberg, E","AN Andreyev, K Nishio",40,Yes,Low,https://iopscience.iop.org/article/10.1088/1361-6633/aa82eb/meta,255
7,"Lilley, John (2001). Nuclear Physics: Principles and Application . John Wiley & Sons, Ltd. pp. 7– 9, 13– 14, 38– 43, 265– 267. ISBN 9780471979364 .",nuclear fission,Book,5,"Lilley, J",R Vandenbosch,67,No,Low,https://books.google.com/books?hl=en&lr=&id=RCeaisb73M0C&oi=fnd&pg=PP1&dq=Nuclear+fission&ots=6Bafp83xp8&sig=3q8B9GrVYzk4stWKE6TbcNBkj8s,1358
8,"Bohr, N. (1939). ""Resonance in Uranium and Thorium Disintegrations and the Phenomenon of Nuclear Fission"" . Physical Review . 55 (4). American Physical Society: 418– 419. Bibcode : 1939PhRv...55..418B . doi : 10.1103/PhysRev.55.418.2 . Retrieved 9 October 2023 .",nuclear fission,Academic Paper,5,"Bohr, N",R Vandenbosch,100,Yes,High,https://books.google.com/books?hl=en&lr=&id=RCeaisb73M0C&oi=fnd&pg=PP1&dq=Nuclear+fission&ots=6Bafp83xp8&sig=3q8B9GrVYzk4stWKE6TbcNBkj8s,1358
9,"""Essential cross sections"" . LibreTexts Library . July 2022 . Retrieved 9 October 2023 .",nuclear fission,Official Documentation,4,LibreTexts,R Vandenbosch,47,No,Low,https://books.google.com/books?hl=en&lr=&id=RCeaisb73M0C&oi=fnd&pg=PP1&dq=Nuclear+fission&ots=6Bafp83xp8&sig=3q8B9GrVYzk4stWKE6TbcNBkj8s,1358
10,"Byrne, James (2011). Neutrons, nuclei, and matter: an exploration of the physics of slow neutrons (Dover ed.). Mineola, N.Y: Dover Publications. p. 259. ISBN 978-0-486-48238-5 .",dynamics of nuclear fission,Book,5,"Byrne, J","D Hilscher, H Rossner",48,No,Low,https://www.annphys.org/articles/anphys/abs/1992/06/anphys_1992__17_6_471_0/anphys_1992__17_6_471_0.html,580
11,"Kauffman, Andrew; Herminghuysen, Kevin; Van Zile, Matthew; White, Susan; Hatch, Joel; Maier, Andrew; Cao, Lei R. (October 2024). ""Review of research and capabilities of 500 kW research reactor at the Ohio State University"" . Annals of Nuclear Energy . 206 . Bibcode : 2024AnNuE.20610647K . doi : 10.1016/j.anucene.2024.110647 . Consequently, the fast neutron energy spectrum of FBF is at above 0.4 eV, with an average of 2.0 MeV and the median energy of 1.6 MeV.",promises and limitations of nuclear fission energy in combating climate change,Unknown,1,"Kauffman, A","V Knapp, D Pevec",44,Yes,Low,https://www.sciencedirect.com/science/article/pii/S0301421518303318,79
12,"Marion Brünglinghaus. ""Nuclear fission"" . European Nuclear Society. Archived from the original on 2013-01-17 . Retrieved 2013-01-04 .",nuclear fission,Unknown,1,"Brünglinghaus, M",R Vandenbosch,100,No,Medium,https://books.google.com/books?hl=en&lr=&id=RCeaisb73M0C&oi=fnd&pg=PP1&dq=Nuclear+fission&ots=6Bafp83xp8&sig=3q8B9GrVYzk4stWKE6TbcNBkj8s,1358
13,"V, Kopeikin; L, Mikaelyan and; V, Sinev (2004). ""Reactor as a Source of Antineutrinos: Thermal Fission Energy"". Physics of Atomic Nuclei . 67 (10): 1892. arXiv : hep-ph/0410100 . Bibcode : 2004PAN....67.1892K . doi : 10.1134/1.1811196 . S2CID 18521811 .",future of nuclear fission theory,Academic Paper,5,"Kopeikin, V","M Bender, R Bernard, G Bertsch, S Chiba",53,No,Low,https://iopscience.iop.org/article/10.1088/1361-6471/abab4f/meta,178
14,"""NUCLEAR EVENTS AND THEIR CONSEQUENCES by the Borden institute...""approximately 82% of the fission energy is released as kinetic energy of the two large fission fragments. These fragments, being massive and highly charged particles , interact readily with matter. They transfer their energy quickly to the surrounding weapon materials, which rapidly become heated"" "" (PDF) . Archived from the original (PDF) on 25 January 2017.",review on the progress in nuclear fission—experimental methods and theoretical descriptions,Unknown,1,Unknown,"KH Schmidt, B Jurado",43,No,Low,https://iopscience.iop.org/article/10.1088/1361-6633/aacfa7/meta,209
15,""" Nuclear Engineering Overview The various energies emitted per fission event pg 4. ""167 MeV"" is emitted by means of the repulsive electrostatic energy between the 2 daughter nuclei, which takes the form of the ""kinetic energy"" of the fission products, this kinetic energy results in both later blast and thermal effects. ""5 MeV"" is released in prompt or initial gamma radiation, ""5 MeV"" in prompt neutron radiation (99.36% of total), ""7 MeV"" in delayed neutron energy (0.64%) and ""13 MeV"" in beta decay and gamma decay(residual radiation)"" (PDF) . Technical University Vienna. Archived from the original (PDF) on May 15, 2018.",review on the progress in nuclear fission—experimental methods and theoretical descriptions,Unknown,1,Not applicable,"KH Schmidt, B Jurado",42,No,Low,https://iopscience.iop.org/article/10.1088/1361-6633/aacfa7/meta,209
16,"""Nuclear Fission and Fusion, and Nuclear Interactions"" . National Physical Laboratory. Archived from the original on 2010-03-05 . Retrieved 2013-01-04 .",nuclear fission,Unknown,1,Unknown,R Vandenbosch,100,No,Medium,https://books.google.com/books?hl=en&lr=&id=RCeaisb73M0C&oi=fnd&pg=PP1&dq=Nuclear+fission&ots=6Bafp83xp8&sig=3q8B9GrVYzk4stWKE6TbcNBkj8s,1358
17,"L. Bonneau; P. Quentin (2005). ""Microscopic calculations of potential energy surfaces: Fission and fusion properties"" (PDF) . AIP Conference Proceedings . 798 : 77– 84. Bibcode : 2005AIPC..798...77B . doi : 10.1063/1.2137231 . Archived from the original on September 29, 2006 . Retrieved 2008-07-28 .",energy from nuclear fission,Academic Paper,5,"Bonneau, L","E De Sanctis, S Monti, M Ripani",67,No,Low,https://link.springer.com/content/pdf/10.1007/978-3-319-30651-3.pdf,42
18,"Lee, John C. (2020). Nuclear Reactor Physics and Engineering . John Wiley & Sons, Inc. pp. 324, 327– 329. ISBN 9781119582328 .",nuclear fission reactors,Book,5,"Lee, J",IR Cameron,67,No,Low,https://books.google.com/books?hl=en&lr=&id=2lzlBwAAQBAJ&oi=fnd&pg=PA1&dq=Nuclear+fission&ots=G6D53V1c-H&sig=V8L_TXVV1AAJPtKE71wiUaz62kg,59
19,"Nuke-Rebuke: Writers & Artists Against Nuclear Energy & Weapons (The Contemporary anthology series) . The Spirit That Moves Us Press. May 1, 1984. pp. 22– 29. ISBN 0930370155 .",nuclear fission,Unknown,1,Nuke-Rebuke: Writers & Artists Against Nuclear Energy & Weapons,R Vandenbosch,60,No,Low,https://books.google.com/books?hl=en&lr=&id=RCeaisb73M0C&oi=fnd&pg=PP1&dq=Nuclear+fission&ots=6Bafp83xp8&sig=3q8B9GrVYzk4stWKE6TbcNBkj8s,1358
20,Tatsuichirō Akizuki; Gordon Honeycombe (March 1982). Nagasaki 1945: the first full-length eyewitness account of the atomic bomb attack on Nagasaki . Quartet Books. pp. 134– 137. ISBN 978-0-7043-3382-6 .,the mechanism of nuclear fission,Book,4,"Akizuki, T","N Bohr, JA Wheeler",38,No,Low,https://journals.aps.org/pr/abstract/10.1103/PhysRev.56.426,3274
21,"The Impact of the A-bomb, Hiroshima and Nagasaki, 1945–85 . Iwanami Shoten. 1 January 1985. pp. 56– 78. ISBN 978-4-00-009766-6 .",the mechanism of nuclear fission,Unknown,1,Iwanami Shoten,"N Bohr, JA Wheeler",44,No,Low,https://journals.aps.org/pr/abstract/10.1103/PhysRev.56.426,3274
22,"E. Rutherford (1911). ""The scattering of α and β particles by matter and the structure of the atom"" (PDF) . Philosophical Magazine . 21 (4): 669– 688. Bibcode : 2012PMag...92..379R . doi : 10.1080/14786435.2011.617037 . S2CID 126189920 .",statistical theory of nuclear fission,Academic Paper,5,"Rutherford, E",P Fong,43,No,Low,https://inis.iaea.org/search/search.aspx?orig_q=RN:21034480,148
23,"""Cockcroft and Walton split lithium with high energy protons April 1932"" . Outreach.phy.cam.ac.uk. 1932-04-14. Archived from the original on 2012-09-02 . Retrieved 2013-01-04 .",energy from nuclear fission,Unknown,1,Unknown,"E De Sanctis, S Monti, M Ripani",44,No,Low,https://link.springer.com/content/pdf/10.1007/978-3-319-30651-3.pdf,42
24,"""Trump claims Manchester atom split as US achievement"" . www.bbc.com . 21 January 2025 . Retrieved 2025-01-21 .",nuclear fission reactors,Unknown,1,Unknown,IR Cameron,42,No,Low,https://books.google.com/books?hl=en&lr=&id=2lzlBwAAQBAJ&oi=fnd&pg=PA1&dq=Nuclear+fission&ots=G6D53V1c-H&sig=V8L_TXVV1AAJPtKE71wiUaz62kg,59
25,"AP, Charlotte Graham-McLay / (2025-01-21). ""New Zealanders Balk at Trump Claim That Americans Split Atom"" . TIME . Retrieved 2025-01-21 .",dynamics of nuclear fission,Unknown,1,"Graham-McLay, C","D Hilscher, H Rossner",37,Yes,Low,https://www.annphys.org/articles/anphys/abs/1992/06/anphys_1992__17_6_471_0/anphys_1992__17_6_471_0.html,580
26,"J. Chadwick (1932). ""Possible Existence of a Neutron"" (PDF) . Nature . 129 (3252): 312. Bibcode : 1932Natur.129Q.312C . doi : 10.1038/129312a0 . S2CID 4076465 .",theory of nuclear fission,Academic Paper,5,"Chadwick, J","N Schunck, D Regnier",44,No,Low,https://www.sciencedirect.com/science/article/pii/S0146641022000242,92
27,"Chadwick, J. (1932). ""The existence of a neutron"" . Proceedings of the Royal Society A . 136 (830): 692– 708. Bibcode : 1932RSPSA.136..692C . doi : 10.1098/rspa.1932.0112 .",the mechanism of nuclear fission,Academic Paper,5,"Chadwick, J","N Bohr, JA Wheeler",50,Yes,Low,https://journals.aps.org/pr/abstract/10.1103/PhysRev.56.426,3274
28,"Chadwick, J. (1933). ""The Bakerian Lecture: The neutron"" . Proceedings of the Royal Society A . 142 (846): 1– 25. Bibcode : 1933RSPSA.142....1C . doi : 10.1098/rspa.1933.0152 .",the nuclear fission process,Academic Paper,5,"Chadwick, J",C Wagemans,59,No,Low,https://books.google.com/books?hl=en&lr=&id=ERD3yypjgD4C&oi=fnd&pg=PA2&dq=Nuclear+fission&ots=B6A8v9_2RH&sig=De9-r-bSHeWrrnXAmIOsyoDGZzw,723
29,"Ida Noddack (1934). ""Über das Element 93"" . Zeitschrift für Angewandte Chemie . 47 (37): 653. Bibcode : 1934AngCh..47..653N . doi : 10.1002/ange.19340473707 .",dynamics of nuclear fission,Academic Paper,5,"Noddack, I","D Hilscher, H Rossner",30,Yes,Low,https://www.annphys.org/articles/anphys/abs/1992/06/anphys_1992__17_6_471_0/anphys_1992__17_6_471_0.html,580
30,"Hook, Ernest B. (2002). ""Interdisciplinary Dissonance and Prematurity: Ida Noddack's Suggestion of Nuclear Fission"". In Hook, Ernest B. (ed.). Prematurity in Scientific Discovery: On Resistance and Neglect . Berkeley and Los Angeles: University of California Press. pp. 124– 148. ISBN 978-0-520-23106-1 . OCLC 883986381 .",energy from nuclear fission,Book,5,"Hook, E","E De Sanctis, S Monti, M Ripani",59,Yes,Low,https://link.springer.com/content/pdf/10.1007/978-3-319-30651-3.pdf,42
31,"""Originalgeräte zur Entdeckung der Kernspaltung, ""Hahn-Meitner-Straßmann-Tisch"" "" .",the nuclear fission process,Unknown,1,Unknown,C Wagemans,37,No,Low,https://books.google.com/books?hl=en&lr=&id=ERD3yypjgD4C&oi=fnd&pg=PA2&dq=Nuclear+fission&ots=B6A8v9_2RH&sig=De9-r-bSHeWrrnXAmIOsyoDGZzw,723
32,"""Entdeckung der Kernspaltung 1938, Versuchsaufbau, Deutsches Museum München | Faszination Museum"" . YouTube . 7 July 2015.",nuclear fission,Blog,3,Faszination Museum,R Vandenbosch,47,No,Low,https://books.google.com/books?hl=en&lr=&id=RCeaisb73M0C&oi=fnd&pg=PP1&dq=Nuclear+fission&ots=6Bafp83xp8&sig=3q8B9GrVYzk4stWKE6TbcNBkj8s,1358
33,"Frisch, Otto Robert (1980). What Little I Remember . Cambridge University Press. pp. 114– 117. ISBN 0-52-128010-9 . The paper was composed by several long-distance telephone calls, Lise Meitner having returned to Stockholm in the meantime. I asked an American biologist who was working with Hevesy what they call the process by which single cells divide in two; 'fission', he said, so I used the term 'nuclear fission' in that paper. Placzek was sceptical; couldn't I do some experiments to show the existence of those fast-moving fragments of the uranium nucleus? Oddly enough that thought hadn't occurred to me, but now I quickly set to work, and the experiment (which was really very easy) was done in two days, and a short note about it was sent off to Nature together with the other note I had composed over the telephone with Lise Meitner.",future of nuclear fission theory,Book,5,"Frisch, O","M Bender, R Bernard, G Bertsch, S Chiba",69,No,Low,https://iopscience.iop.org/article/10.1088/1361-6471/abab4f/meta,178
34,"H. L. Anderson; E. T. Booth; J. R. Dunning; E. Fermi; G. N. Glasoe & F. G. Slack (1939). ""The Fission of Uranium"". Physical Review . 55 (5): 511. Bibcode : 1939PhRv...55..511A . doi : 10.1103/PhysRev.55.511.2 .",future of nuclear fission theory,Academic Paper,5,"Anderson, H","M Bender, R Bernard, G Bertsch, S Chiba",41,Yes,Low,https://iopscience.iop.org/article/10.1088/1361-6471/abab4f/meta,178
35,"Hahn, O.; Strassmann, F. (February 1939). ""Nachweis der Entstehung aktiver Bariumisotope aus Uran und Thorium durch Neutronenbestrahlung; Nachweis weiterer aktiver Bruchstücke bei der Uranspaltung"". Naturwissenschaften . 27 (6): 89– 95. Bibcode : 1939NW.....27...89H . doi : 10.1007/BF01488988 . S2CID 33512939 .",microscopic theory of nuclear fission: a review,Academic Paper,5,"Hahn, O","N Schunck, LM Robledo",38,Yes,Low,https://iopscience.iop.org/article/10.1088/0034-4885/79/11/116301/meta,299
36,"Meitner, Lisa; Frisch, O.R. (1939). ""Disintegration of Uranium by Neutrons: a New Type of Nuclear Reaction"" . Nature . 143 (3615): 239– 240. Bibcode : 1939Natur.143..239M . doi : 10.1038/143239a0 . S2CID 4113262 . Retrieved 20 September 2023 .",theory of nuclear fission,Academic Paper,5,"Meitner, L","N Schunck, D Regnier",64,No,Low,https://www.sciencedirect.com/science/article/pii/S0146641022000242,92
37,"Bohr, Niels; Wheeler, John (1939). ""The Mechanism of Nuclear Fission"" . Physical Review . 56 (5): 426– 450. Bibcode : 1939PhRv...56..426B . doi : 10.1103/PhysRev.56.426 .",nuclear fission,Academic Paper,5,"Bohr, N",R Vandenbosch,100,Yes,High,https://books.google.com/books?hl=en&lr=&id=RCeaisb73M0C&oi=fnd&pg=PP1&dq=Nuclear+fission&ots=6Bafp83xp8&sig=3q8B9GrVYzk4stWKE6TbcNBkj8s,1358
38,"Zoellner, Tom (2009). Uranium . Viking Penguin. pp. 28– 30. ISBN 978-0-670-02064-5 .",energy from nuclear fission,Book,5,"Zoellner, T","E De Sanctis, S Monti, M Ripani",37,Yes,Low,https://link.springer.com/content/pdf/10.1007/978-3-319-30651-3.pdf,42
39,"H. Von Halban; F. Joliot & L. Kowarski (1939). ""Number of Neutrons Liberated in the Nuclear Fission of Uranium"" . Nature . 143 (3625): 680. Bibcode : 1939Natur.143..680V . doi : 10.1038/143680a0 . S2CID 4089039 .",nuclear fission,Academic Paper,5,"Von Halban, H",R Vandenbosch,100,Yes,High,https://books.google.com/books?hl=en&lr=&id=RCeaisb73M0C&oi=fnd&pg=PP1&dq=Nuclear+fission&ots=6Bafp83xp8&sig=3q8B9GrVYzk4stWKE6TbcNBkj8s,1358
40,"P. K. Kuroda (1956). ""On the Nuclear Physical Stability of the Uranium Minerals"" (PDF) . The Journal of Chemical Physics . 25 (4): 781. Bibcode : 1956JChPh..25..781K . doi : 10.1063/1.1743058 .",nuclear fission,Academic Paper,5,"Kuroda, P",R Vandenbosch,67,No,Low,https://books.google.com/books?hl=en&lr=&id=RCeaisb73M0C&oi=fnd&pg=PP1&dq=Nuclear+fission&ots=6Bafp83xp8&sig=3q8B9GrVYzk4stWKE6TbcNBkj8s,1358
